Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.81.242-172.16.83.82-7680-54989-6,172.16.83.82,54989,172.16.81.242,7680,6,13/12/2021 02:17:23 pm,384,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.333333333333,384.0,0.0,384.0,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2604.1666666666665,2604.1666666666665,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,4105,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.190-34.107.221.82-54902-80-6,172.16.81.190,54902,34.107.221.82,80,6,13/12/2021 02:17:41 pm,1227,2,5,296.0,787.0,296.0,0.0,148.0,209.30360723121808,787.0,0.0,157.4,351.9570996584669,882640.586797066,5704.9714751426245,204.5,115.78039557714423,299.0,0.0,239.0,239.0,0.0,239.0,239.0,1227.0,306.75,265.40707727313276,648.0,0.0,0,0,0,0,40,132,1629.9918500407498,4074.9796251018743,0.0,787.0,135.375,282.9371144164118,80053.41071428571,0,1,0,0,0,0,0,0,2.0,154.71428571428572,148.0,157.4,0,0,0,0,0,0,2,296,5,787,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
172.16.81.190-34.107.221.82-54902-80-6,172.16.81.190,54902,34.107.221.82,80,6,13/12/2021 02:17:41 pm,365,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.452054794521,365.0,0.0,365.0,365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2739.7260273972606,2739.7260273972606,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-20.42.65.85-51928-443-6,172.16.81.242,51928,20.42.65.85,443,6,13/12/2021 02:17:42 pm,1567061,8,15,2312.0,5270.0,970.0,0.0,289.0,428.3509909275003,1460.0,0.0,351.33333333333326,590.4056313449335,4838.356643423581,14.677156792237188,71230.04545454546,94990.73861446517,257934.0,0.0,1309040.0,187005.7142857143,135567.33707855822,309131.0,439.0,1519320.0,108522.85714285713,141441.34427977673,469720.0,0.0,0,0,0,0,160,324,5.105098014691196,9.572058777545992,0.0,1460.0,315.9166666666666,522.9061697081424,273430.86231884063,0,1,0,0,0,0,0,0,1.0,329.6521739130435,289.0,351.3333333333333,0,0,0,0,0,0,8,2312,15,5270,-1,2053,4,0,0,0,0,0,0,0,0,0,No Label
172.16.81.191-172.16.81.242-54970-7680-6,172.16.81.191,54970,172.16.81.242,7680,6,13/12/2021 02:17:49 pm,2221,3,5,109.0,109.0,75.0,0.0,36.333333333333336,37.554404979087785,75.0,0.0,21.8,33.184333653096004,98153.98469158038,3601.9810895992796,317.2857142857143,287.74277534267435,838.0,18.0,1416.0,708.0,649.1240251292506,1167.0,249.0,2221.0,555.25,514.6515811692411,1125.0,102.0,0,0,0,0,60,124,1350.7429085997298,2251.23818099955,0.0,75.0,24.22222222222222,32.17443774869181,1035.1944444444443,0,1,0,0,0,0,0,0,1.0,27.25,36.333333333333336,21.8,0,0,0,0,0,0,3,109,5,109,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.191-172.16.81.242-54970-7680-6,172.16.81.191,54970,172.16.81.242,7680,6,13/12/2021 02:17:49 pm,365,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.452054794521,365.0,0.0,365.0,365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2739.7260273972606,2739.7260273972606,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54051-6,172.16.83.124,54051,172.16.81.242,7680,6,13/12/2021 02:17:55 pm,1923,3,5,90.0,90.0,75.0,0.0,30.0,39.68626966596886,75.0,0.0,18.0,32.5192250830182,93603.74414976599,4160.166406656266,274.7142857142857,235.10473856398153,720.0,14.0,1173.0,586.5,572.0493859799169,991.0,182.0,1923.0,480.75,384.6308836620724,883.0,114.0,0,0,0,0,60,124,1560.0624024960998,2600.1040041601664,0.0,75.0,20.0,31.81980515339464,1012.5,0,1,0,0,0,0,0,0,1.0,22.5,30.0,18.0,0,0,0,0,0,0,3,90,5,90,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54052-6,172.16.83.124,54052,172.16.81.242,7680,6,13/12/2021 02:17:55 pm,1278,3,5,109.0,109.0,75.0,0.0,36.333333333333336,37.554404979087785,75.0,0.0,21.8,33.184333653096004,170579.0297339593,6259.7809076682315,182.57142857142858,224.69895203943219,653.0,14.0,891.0,445.5,458.91230099006935,770.0,121.0,1278.0,319.5,318.5848918786535,667.0,20.0,0,0,0,0,60,124,2347.417840375587,3912.3630672926447,0.0,75.0,24.22222222222222,32.17443774869181,1035.1944444444443,0,1,0,0,0,0,0,0,1.0,27.25,36.333333333333336,21.8,0,0,0,0,0,0,3,109,5,109,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54051-6,172.16.83.124,54051,172.16.81.242,7680,6,13/12/2021 02:17:55 pm,273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7326.007326007325,273.0,0.0,273.0,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3663.0036630036625,3663.0036630036625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.81.242-172.16.83.124-7680-54052-6,172.16.83.124,54052,172.16.81.242,7680,6,13/12/2021 02:17:55 pm,306,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6535.9477124183,306.0,0.0,306.0,306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3267.97385620915,3267.97385620915,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1026,0,0,0,0,0,0,0,0,0,0,No Label
